 
 Written by Timothy Guenthner
 
 Stepsize:   7
       x            Approximate                    Exact
     0.0             0.00000000                 0.00000000
     7.0                    NaN                 0.00925988
    14.0                    NaN                 0.01801498
    21.0                    NaN                 0.02583104
    28.0                    NaN                 0.03235077
    35.0                    NaN                 0.03729384
    42.0                    NaN                 0.04045686
    49.0                    NaN                 0.04171341
    56.0                    NaN                 0.04101402
    63.0                    NaN                 0.03838617
    70.0                    NaN                 0.03393430
    77.0                    NaN                 0.02783980
    84.0                    NaN                 0.02036103
    91.0                    NaN                 0.01183328
    98.0             0.00000000                 0.00266882
 
 Stepsize:  10
       x            Approximate                    Exact
     0.0             0.00000000                 0.00000000
    10.0                    NaN                 0.01310096
    20.0                    NaN                 0.02478633
    30.0                    NaN                 0.03393430
    40.0                    NaN                 0.03974359
    50.0                    NaN                 0.04173344
    60.0                    NaN                 0.03974359
    70.0                    NaN                 0.03393430
    80.0                    NaN                 0.02478633
    90.0                    NaN                 0.01310096
   100.0             0.00000000                 0.00000000
 
 Stepsize:  25
       x            Approximate                    Exact
     0.0             0.00000000                 0.00000000
    25.0             0.03106170                 0.02973508
    50.0             0.04351518                 0.04173344
    75.0             0.03092859                 0.02973508
   100.0             0.00000000                 0.00000000
 
 Stepsize:  25
       x            Approximate                    Exact
     0.0             0.00000000                 0.00000000
    25.0             0.03116985                 0.02973508
    50.0             0.04373330                 0.04173344
    75.0             0.03125667                 0.02973508
   100.0             0.00000000                 0.00000000
